Sample Name,Sample Description,Sample ID,Run ID,Experiment type,Instrument model,Release version,
"DLF001","Human gut microbiome, sample DLF001","SRS259434","SRR341581","metagenomic","Illumina Genome Analyzer II",1.0,
"DLF002","Human gut metagenome, sample DLF002","SRS259435","SRR341582","metagenomic","Illumina Genome Analyzer II",1.0,
"DLF003","Human gut metagenome, sample DLF003","SRS259436","SRR341583","metagenomic","Illumina Genome Analyzer II",1.0,
"DLF004","Human gut metagenome, sample DLF004","SRS259437","SRR341584","metagenomic","Illumina Genome Analyzer II",1.0,
"DLF005","Human gut metagenome, sample DLF005","SRS259438","SRR341585","metagenomic","Illumina Genome Analyzer II",1.0,
"DLF006","Human gut metagenome, sample DLF006","SRS259439","SRR341586","metagenomic","Illumina Genome Analyzer II",1.0,
"DLF007","Human gut metagenome, sample DLF007","SRS259440","SRR341587","metagenomic","Illumina Genome Analyzer II",1.0,
"DLF008","Human gut metagenome, sample DLF008","SRS259441","SRR341588","metagenomic","Illumina Genome Analyzer II",1.0,
"DLF010","Human gut metagenome, sample DLF010","SRS259442","SRR341589","metagenomic","Illumina Genome Analyzer II",1.0,
"DLM002","Human gut metagenome, sample DLM002","SRS259443","SRR341590","metagenomic","Illumina Genome Analyzer II",1.0,
"DLM003","Human gut metagenome, sample DLM003","SRS259444","SRR341591","metagenomic","Illumina Genome Analyzer II",1.0,
"DLM004","Human gut metagenome, sample DLM004","SRS259445","SRR341592","metagenomic","Illumina Genome Analyzer II",1.0,
"DLM005","Human gut metagenome, sample DLM005","SRS259446","SRR341593","metagenomic","Illumina Genome Analyzer II",1.0,
"DLM006","Human gut metagenome, sample DLM006","SRS259447","SRR341594","metagenomic","Illumina Genome Analyzer II",1.0,
"DLM007","Human gut metagenome, sample DLM007","SRS259448","SRR341595","metagenomic","Illumina Genome Analyzer II",1.0,
"DLM008","Human gut metagenome, sample DLM008","SRS259449","SRR341596","metagenomic","Illumina Genome Analyzer II",1.0,
"DLM009","Human gut metagenome, sample DLM009","SRS259450","SRR341597","metagenomic","Illumina Genome Analyzer II",1.0,
"DLM011","Human gut metagenome, sample DLM011","SRS259451","SRR341598","metagenomic","Illumina Genome Analyzer II",1.0,
"DOF002","Human gut metagenome, sample DOF002","SRS259452","SRR341599","metagenomic","Illumina Genome Analyzer II",1.0,
"DOF007","Human gut metagenome, sample DOF007","SRS259453","SRR341600","metagenomic","Illumina Genome Analyzer II",1.0,
"DOF009","Human gut metagenome, sample DOF009","SRS259454","SRR341601","metagenomic","Illumina Genome Analyzer II",1.0,
"DOF010","Human gut metagenome, sample DOF010","SRS259455","SRR341602","metagenomic","Illumina Genome Analyzer II",1.0,
"DOF011","Human gut metagenome, sample DOF011","SRS259456","SRR341603","metagenomic","Illumina Genome Analyzer II",1.0,
"DOF012","Human gut metagenome, sample DOF012","SRS259457","SRR341604","metagenomic","Illumina Genome Analyzer II",1.0,
"DOF013","Human gut metagenome, sample DOF013","SRS259458","SRR341605","metagenomic","Illumina Genome Analyzer II",1.0,
"DOF014","Human gut metagenome, sample DOF014","SRS259459","SRR341606","metagenomic","Illumina Genome Analyzer II",1.0,
"DOM005","Human gut metagenome, sample DOM005","SRS259460","SRR341607","metagenomic","Illumina Genome Analyzer II",1.0,
"DOM012","Human gut metagenome, sample DOM012","SRS259461","SRR341608","metagenomic","Illumina Genome Analyzer II",1.0,
"DOM014","Human gut metagenome, sample DOM014","SRS259462","SRR341609","metagenomic","Illumina Genome Analyzer II",1.0,
"DOM017","Human gut metagenome, sample DOM017","SRS259463","SRR341610","metagenomic","Illumina Genome Analyzer II",1.0,
"DOM020","Human gut metagenome, sample DOM020","SRS259464","SRR341611","metagenomic","Illumina Genome Analyzer II",1.0,
"DOM021","Human gut metagenome, sample DOM021","SRS259465","SRR341612","metagenomic","Illumina Genome Analyzer II",1.0,
"DOM023","Human gut metagenome, sample DOM023","SRS259466","SRR341613","metagenomic","Illumina Genome Analyzer II",1.0,
"DOM024","Human gut metagenome, sample DOM024","SRS259467","SRR341614","metagenomic","Illumina Genome Analyzer II",1.0,
"DOM025","Human gut metagenome, sample DOM025","SRS259468","SRR341615","metagenomic","Illumina Genome Analyzer II",1.0,
"NLF001","Human gut metagenome, sample NLF001","SRS259469","SRR341616","metagenomic","Illumina Genome Analyzer II",1.0,
"NLF002","Human gut metagenome, sample NLF002","SRS259470","SRR341617","metagenomic","Illumina Genome Analyzer II",1.0,
"NLF005","Human gut metagenome, sample NLF005","SRS259471","SRR341618","metagenomic","Illumina Genome Analyzer II",1.0,
"NLF006","Human gut metagenome, sample NLF006","SRS259472","SRR341619","metagenomic","Illumina Genome Analyzer II",1.0,
"NLF007","Human gut metagenome, sample NLF007","SRS259473","SRR341620","metagenomic","Illumina Genome Analyzer II",1.0,
"NLF009","Human gut metagenome, sample NLF009","SRS259474","SRR341621","metagenomic","Illumina Genome Analyzer II",1.0,
"NLF010","Human gut metagenome, sample NLF010","SRS259475","SRR341622","metagenomic","Illumina Genome Analyzer II",1.0,
"NLF011","Human gut metagenome, sample NLF011","SRS259476","SRR341623","metagenomic","Illumina Genome Analyzer II",1.0,
"NLF014","Human gut metagenome, sample NLF014","SRS259477","SRR341624","metagenomic","Illumina Genome Analyzer II",1.0,
"NLM001","Human gut metagenome, sample NLM001","SRS259478","SRR341625","metagenomic","Illumina Genome Analyzer II",1.0,
"NLM003","Human gut metagenome, sample NLM003","SRS259479","SRR341626","metagenomic","Illumina Genome Analyzer II",1.0,
"NLM005","Human gut metagenome, sample NLM005","SRS259480","SRR341627","metagenomic","Illumina Genome Analyzer II",1.0,
"NLM008","Human gut metagenome, sample NLM008","SRS259481","SRR341628","metagenomic","Illumina Genome Analyzer II",1.0,
"NLM009","Human gut metagenome, sample NLM009","SRS259482","SRR341629","metagenomic","Illumina Genome Analyzer II",1.0,
"NLM015","Human gut metagenome, sample NLM015","SRS259483","SRR341630","metagenomic","Illumina Genome Analyzer II",1.0,
"NLM016","Human gut metagenome, sample NLM016","SRS259484","SRR341631","metagenomic","Illumina Genome Analyzer II",1.0,
"NLM017","Human gut metagenome, sample NLM017","SRS259485","SRR341632","metagenomic","Illumina Genome Analyzer II",1.0,
"NLM023","Human gut metagenome, sample NLM023","SRS259486","SRR341633","metagenomic","Illumina Genome Analyzer II",1.0,
"NLM025","Human gut metagenome, sample NLM025","SRS259487","SRR341634","metagenomic","Illumina Genome Analyzer II",1.0,
"NOF001","Human gut metagenome, sample NOF001","SRS259488","SRR341635","metagenomic","Illumina Genome Analyzer II",1.0,
"NOF002","Human gut metagenome, sample NOF002","SRS259489","SRR341636","metagenomic","Illumina Genome Analyzer II",1.0,
"NOF004","Human gut metagenome, sample NOF004","SRS259490","SRR341637","metagenomic","Illumina Genome Analyzer II",1.0,
"NOF006","Human gut metagenome, sample NOF006","SRS259491","SRR341638","metagenomic","Illumina Genome Analyzer II",1.0,
"NOF007","Human gut metagenome, sample NOF007","SRS259492","SRR341639","metagenomic","Illumina Genome Analyzer II",1.0,
"NOF009","Human gut metagenome, sample NOF009","SRS259493","SRR341640","metagenomic","Illumina Genome Analyzer II",1.0,
"NOF011","Human gut metagenome, sample NOF011","SRS259494","SRR341641","metagenomic","Illumina Genome Analyzer II",1.0,
"NOF013","Human gut metagenome, sample NOF013","SRS259495","SRR341642","metagenomic","Illumina Genome Analyzer II",1.0,
"NOF014","Human gut metagenome, sample NOF014","SRS259496","SRR341643","metagenomic","Illumina Genome Analyzer II",1.0,
"NOM004","Human gut metagenome, sample NOM004","SRS259497","SRR341644","metagenomic","Illumina Genome Analyzer II",1.0,
